"section","n","tau","kappa","estimator","replications","coverage","rejection_count","rejection_rate","MCSE","Wilson_lower","Wilson_upper","mean_W_true","median_W_true","q90_W_true","q95_W_true","max_W_true","coverage_rank","q50","q90","q95","q99","mean","maximum","q90_chisq2","q95_chisq2","q99_chisq2","aggregation","pilot_RMSE","authors_RMSE","RMSE_difference","RMSE_ratio","pilot_MAE","authors_MAE","MAE_difference","MAE_ratio","pilot_bias_estimate_minus_truth","pilot_bias_truth_minus_estimate","authors_bias_truth_minus_estimate","harmonized_bias_difference","all_grid_accepted_but_not_covered","no_grid_point_accepted_but_covered","grid_measure_four_but_not_covered","delta","power","null_rejection_rate","power_below_size","metric","value"
"coverage_matrix",1000,0.1,0.1,"Oracle-GMM",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.12098159660431,1.54532350629705,5.10118047877382,6.3302418224269,11.6701506401888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.1,0.1,"Full-GMM",50,0.88,6,0.12,0.0459565011723042,0.76195182616797,0.943823998490677,2.28946380598426,1.15175391752847,6.18496064226807,7.2330733505751,10.8161959977269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.1,0.1,"DML-IVQR",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.4247248108398,1.79533428147983,5.71651976853369,6.51016445429744,9.65175818813827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.25,1,"Oracle-GMM",50,0.9,5,0.1,0.0424264068711928,0.786397685625204,0.95652423506811,2.55679163947381,1.92435420771857,5.87872749501574,7.9727954729097,8.12634260968891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.25,1,"Full-GMM",50,0.74,13,0.26,0.0620322496770833,0.604468427351512,0.841284725064476,4.91020787912273,3.878843341786,12.9274125437577,15.6865316841371,22.2049664385699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.25,1,"DML-IVQR",50,0.9,5,0.1,0.0424264068711928,0.786397685625204,0.95652423506811,2.51408987191651,1.71290763379525,5.169092675445,7.07866103833669,14.4048573917162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.25,0.5,"Oracle-GMM",50,0.9,5,0.1,0.0424264068711928,0.786397685625204,0.95652423506811,2.26143563140423,1.45871077859436,5.73365906381376,6.66199520744089,8.88965185746114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.25,0.5,"Full-GMM",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,2.31769947604615,1.49161897425701,5.4361406789971,6.41090195881284,9.18985473535798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.25,0.5,"DML-IVQR",50,0.96,2,0.04,0.027712812921102,0.86539909312493,0.98896111567238,1.79781657488299,1.3306811568549,3.58547891352534,4.855788587675,10.8393810773609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.25,0.25,"Oracle-GMM",50,0.96,2,0.04,0.027712812921102,0.86539909312493,0.98896111567238,2.11494141436723,1.55541953508088,5.25529225358466,5.66523253221208,7.71871053687077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.25,0.25,"Full-GMM",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,2.09171593648077,1.40599852776041,4.52003519394788,6.29887290990622,9.42327681935691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.25,0.25,"DML-IVQR",50,0.96,2,0.04,0.027712812921102,0.86539909312493,0.98896111567238,1.71666984478127,0.920998333455259,4.14960554360275,4.79965480512489,8.71252773551328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
