"n","tau","kappa","estimator","mean_bias","MAE","RMSE","coverage","rejection_at_truth","MCSE_coverage","MCSE_size","mean_CR_length","median_CR_length","proportion_CR_all_A","proportion_CR_left_boundary","proportion_CR_right_boundary","point_left_boundary_rate","point_right_boundary_rate","successful_replications","failed_replications"
1000,0.75,0.5,"Full-GMM",-0.136489750196081,0.24693877002353,0.327697195454262,0.92,0.08,0.0383666521865017,0.0383666521865018,1.2035,1.1,0,0.02,0,0,0,50,0
1000,0.75,0.5,"Oracle-GMM",-0.0384897501960814,0.146040819984314,0.203434168393996,0.9,0.1,0.0424264068711928,0.0424264068711929,0.704,0.575,0,0,0,0,0,50,0
1000,0.75,0.25,"DML-IVQR",-0.0084897501960814,0.36506122997647,0.560638988885354,0.88,0.12,0.0459565011723042,0.0459565011723042,1.9275,1.675,0.02,0.24,0.26,0,0,50,0
1000,0.75,0.25,"Full-GMM",-0.140489750196081,0.422,0.623844026909096,0.96,0.04,0.027712812921102,0.027712812921102,2.5435,2.6375,0.04,0.36,0.26,0,0,50,0
1000,0.75,0.25,"Oracle-GMM",-0.190489750196081,0.50212245995294,0.821237082047423,0.86,0.14,0.0490713765855412,0.0490713765855412,2.2465,2.275,0.02,0.36,0.18,0.02,0,50,0
1000,0.75,0.1,"DML-IVQR",-0.00448975019608143,0.622163279937254,0.875511369347551,0.9,0.1,0.0424264068711928,0.0424264068711929,3.1435,3.3125,0.3,0.64,0.86,0,0.04,50,0
1000,0.75,0.1,"Full-GMM",-0.214489750196081,0.789020409992157,1.03807796091583,0.92,0.08,0.0383666521865017,0.0383666521865018,3.4985,3.725,0.2,0.76,0.9,0.02,0.02,50,0
1000,0.75,0.1,"Oracle-GMM",-0.338489750196081,0.91906122997647,1.22314320951711,0.88,0.12,0.0459565011723042,0.0459565011723042,3.349,3.6875,0.28,0.76,0.84,0.04,0.02,50,0
1000,0.9,1,"DML-IVQR",-0.167551565544601,0.175979189813897,0.208032514565504,0.5,0.5,0.0707106781186548,0.0707106781186548,0.424,0.45,0,0,0,0,0,50,0
1000,0.9,1,"Full-GMM",-0.411551565544601,0.423979189813896,0.485669322793001,0.64,0.36,0.0678822509939086,0.0678822509939086,1.02,1.05,0,0,0,0,0,50,0
1000,0.9,1,"Oracle-GMM",-0.0775515655446006,0.117048250487136,0.166127196203447,0.92,0.08,0.0383666521865017,0.0383666521865018,0.475,0.4,0,0,0,0,0,50,0
1000,0.9,0.5,"DML-IVQR",-0.295551565544601,0.333144751461408,0.58698784305628,0.88,0.12,0.0459565011723042,0.0459565011723042,1.2575,1.15,0,0.08,0.02,0,0,50,0
1000,0.9,0.5,"Full-GMM",-0.505551565544601,0.62462062621784,0.911595516347353,0.82,0.18,0.0543323108288245,0.0543323108288245,2.314,2.2125,0,0.24,0.24,0,0,50,0
1000,0.9,0.5,"Oracle-GMM",-0.219551565544601,0.303048250487136,0.550780255576655,0.9,0.1,0.0424264068711928,0.0424264068711929,1.6845,1.35,0,0.16,0.1,0,0,50,0
1000,0.9,0.25,"DML-IVQR",-0.241551565544601,0.40831031310892,0.67286488897627,0.92,0.08,0.0383666521865017,0.0383666521865018,2.824,3.0625,0.12,0.48,0.56,0,0.02,50,0
1000,0.9,0.25,"Full-GMM",-0.625551565544601,0.89631031310892,1.29343680214972,0.94,0.06,0.0335857112474933,0.0335857112474933,3.3395,3.4875,0.08,0.72,0.74,0.02,0.02,50,0
1000,0.9,0.25,"Oracle-GMM",-0.293551565544601,0.514524125243568,0.787418898448396,0.9,0.1,0.0424264068711928,0.0424264068711929,3.218,3.575,0.06,0.7,0.46,0,0.02,50,0
1000,0.9,0.1,"DML-IVQR",-0.275551565544601,0.601262062621784,0.845513255528309,0.94,0.06,0.0335857112474933,0.0335857112474933,3.523,3.9125,0.38,0.78,0.9,0,0.02,50,0
1000,0.9,0.1,"Full-GMM",-0.799551565544601,1.08409650097427,1.43831801280691,0.92,0.08,0.0383666521865017,0.0383666521865018,3.6625,3.875,0.22,0.88,0.94,0.04,0.08,50,0
1000,0.9,0.1,"Oracle-GMM",-0.565551565544601,0.952,1.38072175809971,0.92,0.08,0.0383666521865017,0.0383666521865018,3.606,3.95,0.4,0.84,0.92,0.02,0.08,50,0
