"row_type","dataset_id","estimator","comparison","alpha","max_abs_latent_d_difference","max_abs_D_difference","exact_latent_d_identity","exact_D_identity","max_abs_W_difference","W_reference","W_thesis","difference","alpha_hat_reference","alpha_hat_thesis","min_W_reference","min_W_thesis","alpha_hat_exact_match","W_tolerance_match","selected_lambda_reference","lambda_vector_exact_match","status"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",1,NA,NA,NA,NA,NA,3.49975993494198,3.49975993494198,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",1.1,NA,NA,NA,NA,NA,3.46509095005413,3.46509095005413,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",1.2,NA,NA,NA,NA,NA,2.40105681088108,2.40105681088108,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",1.3,NA,NA,NA,NA,NA,8.60162062626275,8.60162062626275,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",1.4,NA,NA,NA,NA,NA,8.96640608326007,8.96640608326007,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",1.5,NA,NA,NA,NA,NA,13.3782154474287,13.3782154474287,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",1.6,NA,NA,NA,NA,NA,20.832670233922,20.832670233922,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",1.7,NA,NA,NA,NA,NA,30.0089322551492,30.0089322551492,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",1.8,NA,NA,NA,NA,NA,29.5161128778462,29.5161128778462,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",1.9,NA,NA,NA,NA,NA,43.8162077071188,43.8162077071188,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",2,NA,NA,NA,NA,NA,40.1326100533519,40.1326100533519,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",2.1,NA,NA,NA,NA,NA,44.4611688421101,44.4611688421101,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",2.2,NA,NA,NA,NA,NA,52.1661576638539,52.1661576638539,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",2.3,NA,NA,NA,NA,NA,63.7289294090554,63.7289294090554,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",2.4,NA,NA,NA,NA,NA,55.7282983079143,55.7282983079143,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",2.5,NA,NA,NA,NA,NA,64.0623180520685,64.0623180520685,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",2.6,NA,NA,NA,NA,NA,61.1369312782762,61.1369312782762,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",2.7,NA,NA,NA,NA,NA,54.1871090713132,54.1871090713132,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",2.8,NA,NA,NA,NA,NA,59.7449653367043,59.7449653367043,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",2.9,NA,NA,NA,NA,NA,61.9972978257183,61.9972978257183,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",3,NA,NA,NA,NA,NA,70.7670957055766,70.7670957055766,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",1,"DML-CV","DML_TABLE2_CV",NA,NA,NA,NA,NA,0,NA,NA,NA,0.9,0.9,2.42315882124016,2.42315882124016,TRUE,TRUE,NA,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",-1,NA,NA,NA,NA,NA,80.4797932047387,80.4797932047387,0,NA,NA,NA,NA,NA,NA,0.0335049426894087,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",-0.9,NA,NA,NA,NA,NA,79.36043052363,79.36043052363,0,NA,NA,NA,NA,NA,NA,0.0279420700215162,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",-0.8,NA,NA,NA,NA,NA,75.5300081939923,75.5300081939923,0,NA,NA,NA,NA,NA,NA,0.0276903921271123,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",-0.7,NA,NA,NA,NA,NA,76.2271779052075,76.2271779052075,0,NA,NA,NA,NA,NA,NA,0.0290205232509616,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",-0.6,NA,NA,NA,NA,NA,76.9676215749538,76.9676215749538,0,NA,NA,NA,NA,NA,NA,0.0305461169070342,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",-0.5,NA,NA,NA,NA,NA,76.1059402936795,76.1059402936795,0,NA,NA,NA,NA,NA,NA,0.0315521741750376,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",-0.4,NA,NA,NA,NA,NA,72.5304442687323,72.5304442687323,0,NA,NA,NA,NA,NA,NA,0.0373334031808918,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",-0.3,NA,NA,NA,NA,NA,70.5255083446735,70.5255083446735,0,NA,NA,NA,NA,NA,NA,0.0315066443854865,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",-0.2,NA,NA,NA,NA,NA,67.6902403720466,67.6902403720466,0,NA,NA,NA,NA,NA,NA,0.0328239091860571,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",-0.1,NA,NA,NA,NA,NA,65.1698455161204,65.1698455161204,0,NA,NA,NA,NA,NA,NA,0.0279817853968048,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",0,NA,NA,NA,NA,NA,56.752909775909,56.752909775909,0,NA,NA,NA,NA,NA,NA,0.0325544391253599,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",0.1,NA,NA,NA,NA,NA,47.2323288046206,47.2323288046206,0,NA,NA,NA,NA,NA,NA,0.0314592797305399,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",0.2,NA,NA,NA,NA,NA,43.5771385644134,43.5771385644134,0,NA,NA,NA,NA,NA,NA,0.0254235994971724,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",0.3,NA,NA,NA,NA,NA,38.5569881450507,38.5569881450507,0,NA,NA,NA,NA,NA,NA,0.0313832104440342,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",0.4,NA,NA,NA,NA,NA,26.2085742135215,26.2085742135215,0,NA,NA,NA,NA,NA,NA,0.0294959095247282,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",0.5,NA,NA,NA,NA,NA,21.7780233402433,21.7780233402433,0,NA,NA,NA,NA,NA,NA,0.0322703605073035,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",0.6,NA,NA,NA,NA,NA,22.0741226412616,22.0741226412616,0,NA,NA,NA,NA,NA,NA,0.0313134362367333,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",0.7,NA,NA,NA,NA,NA,9.77244086154019,9.77244086154019,0,NA,NA,NA,NA,NA,NA,0.031284336392858,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",0.8,NA,NA,NA,NA,NA,5.03917096744796,5.03917096744796,0,NA,NA,NA,NA,NA,NA,0.0285204472037669,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",0.9,NA,NA,NA,NA,NA,2.42315882124016,2.42315882124016,0,NA,NA,NA,NA,NA,NA,0.030238250429452,NA,"PASS"
