"n","tau","kappa","estimator","delta","rejection_probability","MCSE","successful_replications","failed_replications"
1000,0.5,0.5,"DML-IVQR",-0.25,0.354,0.0213861637513604,500,0
1000,0.5,0.5,"DML-IVQR",0.25,0.478,0.0223390241505756,500,0
1000,0.5,0.5,"DML-IVQR",0.5,0.832,0.0167198086113448,500,0
1000,0.5,0.5,"Full-GMM",-0.5,0.694,0.0206089301032344,500,0
1000,0.5,0.5,"Full-GMM",-0.25,0.25,0.0193649167310371,500,0
1000,0.5,0.5,"Full-GMM",0.25,0.244,0.0192074985357282,500,0
1000,0.5,0.5,"Full-GMM",0.5,0.69,0.0206833266183175,500,0
1000,0.5,0.5,"Oracle-GMM",-0.5,0.852,0.0158805541465026,500,0
1000,0.5,0.5,"Oracle-GMM",-0.25,0.502,0.0223605008888441,500,0
1000,0.5,0.5,"Oracle-GMM",0.25,0.496,0.0223599642217961,500,0
1000,0.5,0.5,"Oracle-GMM",0.5,0.91,0.0127984374046209,500,0
1000,0.5,0.25,"DML-IVQR",-0.5,0.334,0.0210923682880799,500,0
1000,0.5,0.25,"DML-IVQR",-0.25,0.146,0.015791390059143,500,0
1000,0.5,0.25,"DML-IVQR",0.25,0.112,0.014103616557465,500,0
1000,0.5,0.25,"DML-IVQR",0.5,0.252,0.0194162818273736,500,0
1000,0.5,0.25,"Full-GMM",-0.5,0.22,0.0185256578830551,500,0
1000,0.5,0.25,"Full-GMM",-0.25,0.128,0.0149409504383088,500,0
1000,0.5,0.25,"Full-GMM",0.25,0.09,0.0127984374046209,500,0
1000,0.5,0.25,"Full-GMM",0.5,0.222,0.0185858010319706,500,0
1000,0.5,0.25,"Oracle-GMM",-0.5,0.332,0.0210606742532142,500,0
1000,0.5,0.25,"Oracle-GMM",-0.25,0.17,0.016798809481627,500,0
1000,0.5,0.25,"Oracle-GMM",0.25,0.166,0.0166399519230075,500,0
1000,0.5,0.25,"Oracle-GMM",0.5,0.356,0.0214132669156297,500,0
1000,0.5,0.1,"DML-IVQR",-0.5,0.114,0.0142129518397833,500,0
1000,0.5,0.1,"DML-IVQR",-0.25,0.076,0.0118510759005248,500,0
1000,0.5,0.1,"DML-IVQR",0.25,0.064,0.0109456840809517,500,0
1000,0.5,0.1,"DML-IVQR",0.5,0.07,0.0114105214604767,500,0
1000,0.5,0.1,"Full-GMM",-0.5,0.08,0.0121326007104825,500,0
1000,0.5,0.1,"Full-GMM",-0.25,0.062,0.0107848041243223,500,0
1000,0.5,0.1,"Full-GMM",0.25,0.058,0.0104533248299285,500,0
1000,0.5,0.1,"Full-GMM",0.5,0.08,0.0121326007104825,500,0
1000,0.5,0.1,"Oracle-GMM",-0.5,0.112,0.014103616557465,500,0
1000,0.5,0.1,"Oracle-GMM",-0.25,0.086,0.0125382614424808,500,0
1000,0.5,0.1,"Oracle-GMM",0.25,0.082,0.0122699633251286,500,0
1000,0.5,0.1,"Oracle-GMM",0.5,0.106,0.0137669168661687,500,0
1000,0.75,1,"DML-IVQR",-0.5,0.992,0.0039839678713564,500,0
1000,0.75,1,"DML-IVQR",-0.25,0.55,0.022248595461287,500,0
1000,0.75,1,"DML-IVQR",0.25,1,0,500,0
1000,0.75,1,"DML-IVQR",0.5,1,0,500,0
1000,0.75,1,"Full-GMM",-0.5,0.764,0.0189896814085966,500,0
1000,0.75,1,"Full-GMM",-0.25,0.198,0.0178211110764733,500,0
1000,0.75,1,"Full-GMM",0.25,0.894,0.0137669168661687,500,0
1000,0.75,1,"Full-GMM",0.5,1,0,500,0
1000,0.75,1,"Oracle-GMM",-0.5,0.998,0.00199799899899875,500,0
1000,0.75,1,"Oracle-GMM",-0.25,0.782,0.0184648855940133,500,0
1000,0.75,1,"Oracle-GMM",0.25,0.982,0.005945754788082,500,0
1000,0.75,1,"Oracle-GMM",0.5,1,0,500,0
1000,0.75,0.5,"DML-IVQR",-0.5,0.606,0.021852414054287,500,0
1000,0.75,0.5,"DML-IVQR",-0.25,0.196,0.017752971582245,500,0
1000,0.75,0.5,"DML-IVQR",0.25,0.65,0.0213307290077015,500,0
1000,0.75,0.5,"DML-IVQR",0.5,0.952,0.00955991631762538,500,0
1000,0.75,0.5,"Full-GMM",-0.5,0.264,0.0197131428240146,500,0
1000,0.75,0.5,"Full-GMM",-0.25,0.094,0.0130509769749241,500,0
1000,0.75,0.5,"Full-GMM",0.25,0.378,0.0216848334095515,500,0
1000,0.75,0.5,"Full-GMM",0.5,0.83,0.016798809481627,500,0
1000,0.75,0.5,"Oracle-GMM",-0.5,0.59,0.0219954540757858,500,0
1000,0.75,0.5,"Oracle-GMM",-0.25,0.274,0.0199461274436919,500,0
1000,0.75,0.5,"Oracle-GMM",0.25,0.556,0.0222199909990981,500,0
1000,0.75,0.5,"Oracle-GMM",0.5,0.954,0.00936845771725528,500,0
1000,0.75,0.25,"DML-IVQR",-0.5,0.232,0.0188772879408034,500,0
1000,0.75,0.25,"DML-IVQR",-0.25,0.094,0.0130509769749241,500,0
1000,0.75,0.25,"DML-IVQR",0.25,0.194,0.0176841171676734,500,0
1000,0.75,0.25,"DML-IVQR",0.5,0.374,0.0216390387956582,500,0
1000,0.75,0.25,"Full-GMM",-0.5,0.09,0.0127984374046209,500,0
1000,0.75,0.25,"Full-GMM",-0.25,0.056,0.0102824121683582,500,0
1000,0.75,0.25,"Full-GMM",0.25,0.122,0.0146366662871024,500,0
1000,0.75,0.25,"Full-GMM",0.5,0.262,0.0196649942791754,500,0
1000,0.75,0.25,"Oracle-GMM",-0.5,0.188,0.0174731794473702,500,0
1000,0.75,0.25,"Oracle-GMM",-0.25,0.116,0.0143208938268531,500,0
1000,0.75,0.25,"Oracle-GMM",0.25,0.18,0.0171813852759316,500,0
1000,0.75,0.25,"Oracle-GMM",0.5,0.412,0.0220116332878776,500,0
1000,0.75,0.1,"DML-IVQR",-0.5,0.088,0.0126693330526907,500,0
1000,0.75,0.1,"DML-IVQR",-0.25,0.064,0.0109456840809517,500,0
1000,0.75,0.1,"DML-IVQR",0.25,0.068,0.0112584190719657,500,0
1000,0.75,0.1,"DML-IVQR",0.5,0.072,0.0115599307956406,500,0
1000,0.75,0.1,"Full-GMM",-0.5,0.05,0.00974679434480896,500,0
1000,0.75,0.1,"Full-GMM",-0.25,0.052,0.00992935043192655,500,0
1000,0.75,0.1,"Full-GMM",0.25,0.056,0.0102824121683582,500,0
1000,0.75,0.1,"Full-GMM",0.5,0.078,0.0119929979571415,500,0
