"n","tau","kappa","estimator","delta","rejection_probability","MCSE","successful_replications","failed_replications"
500,0.75,1,"Full-GMM",-0.5,0.184,0.0173288199251998,500,0
500,0.75,1,"Full-GMM",-0.25,0.034,0.00810481338464989,500,0
500,0.75,1,"Full-GMM",0.25,0.606,0.021852414054287,500,0
500,0.75,1,"Full-GMM",0.5,0.934,0.0111035129576184,500,0
500,0.75,1,"Oracle-GMM",-0.5,0.808,0.0176145394489893,500,0
500,0.75,1,"Oracle-GMM",-0.25,0.374,0.0216390387956582,500,0
500,0.75,1,"Oracle-GMM",0.25,0.782,0.0184648855940133,500,0
500,0.75,1,"Oracle-GMM",0.5,1,0,500,0
500,0.75,0.5,"DML-IVQR",-0.5,0.306,0.0206089301032344,500,0
500,0.75,0.5,"DML-IVQR",-0.25,0.082,0.0122699633251286,500,0
500,0.75,0.5,"DML-IVQR",0.25,0.304,0.0205710476155202,500,0
500,0.75,0.5,"DML-IVQR",0.5,0.586,0.0220274374360705,500,0
500,0.75,0.5,"Full-GMM",-0.5,0.068,0.0112584190719657,500,0
500,0.75,0.5,"Full-GMM",-0.25,0.03,0.00762889244910426,500,0
500,0.75,0.5,"Full-GMM",0.25,0.184,0.0173288199251998,500,0
500,0.75,0.5,"Full-GMM",0.5,0.418,0.0220579237463547,500,0
500,0.75,0.5,"Oracle-GMM",-0.5,0.268,0.0198078772209442,500,0
500,0.75,0.5,"Oracle-GMM",-0.25,0.12,0.014532721699668,500,0
500,0.75,0.5,"Oracle-GMM",0.25,0.292,0.0203340109176719,500,0
500,0.75,0.5,"Oracle-GMM",0.5,0.682,0.0208267136149706,500,0
500,0.75,0.25,"DML-IVQR",-0.5,0.122,0.0146366662871024,500,0
500,0.75,0.25,"DML-IVQR",-0.25,0.06,0.0106207344378814,500,0
500,0.75,0.25,"DML-IVQR",0.25,0.084,0.0124051602166195,500,0
500,0.75,0.25,"DML-IVQR",0.5,0.144,0.0157012101444443,500,0
500,0.75,0.25,"Full-GMM",-0.5,0.038,0.00855055553750749,500,0
500,0.75,0.25,"Full-GMM",-0.25,0.04,0.00876356092008266,500,0
500,0.75,0.25,"Full-GMM",0.25,0.06,0.0106207344378814,500,0
500,0.75,0.25,"Full-GMM",0.5,0.114,0.0142129518397833,500,0
500,0.75,0.25,"Oracle-GMM",-0.5,0.086,0.0125382614424808,500,0
500,0.75,0.25,"Oracle-GMM",-0.25,0.058,0.0104533248299285,500,0
500,0.75,0.25,"Oracle-GMM",0.25,0.1,0.0134164078649987,500,0
500,0.75,0.25,"Oracle-GMM",0.5,0.226,0.0187042241218394,500,0
500,0.75,0.1,"DML-IVQR",-0.5,0.07,0.0114105214604767,500,0
500,0.75,0.1,"DML-IVQR",-0.25,0.058,0.0104533248299285,500,0
500,0.75,0.1,"DML-IVQR",0.25,0.056,0.0102824121683582,500,0
500,0.75,0.1,"DML-IVQR",0.5,0.05,0.00974679434480896,500,0
500,0.75,0.1,"Full-GMM",-0.5,0.038,0.00855055553750749,500,0
500,0.75,0.1,"Full-GMM",-0.25,0.04,0.00876356092008266,500,0
500,0.75,0.1,"Full-GMM",0.25,0.058,0.0104533248299285,500,0
500,0.75,0.1,"Full-GMM",0.5,0.06,0.0106207344378814,500,0
500,0.75,0.1,"Oracle-GMM",-0.5,0.042,0.00897061870775924,500,0
500,0.75,0.1,"Oracle-GMM",-0.25,0.04,0.00876356092008266,500,0
500,0.75,0.1,"Oracle-GMM",0.25,0.048,0.00955991631762538,500,0
500,0.75,0.1,"Oracle-GMM",0.5,0.054,0.0101078187557949,500,0
500,0.9,1,"DML-IVQR",-0.5,0.268,0.0198078772209442,500,0
500,0.9,1,"DML-IVQR",-0.25,0.06,0.0106207344378814,500,0
500,0.9,1,"DML-IVQR",0.25,0.92,0.0121326007104825,500,0
500,0.9,1,"DML-IVQR",0.5,0.992,0.0039839678713564,500,0
500,0.9,1,"Full-GMM",-0.5,0.05,0.00974679434480896,500,0
500,0.9,1,"Full-GMM",-0.25,0.216,0.0184034779321736,500,0
500,0.9,1,"Full-GMM",0.25,0.71,0.0202928558857545,500,0
500,0.9,1,"Full-GMM",0.5,0.866,0.0152344346793703,500,0
500,0.9,1,"Oracle-GMM",-0.5,0.286,0.0202091068580479,500,0
500,0.9,1,"Oracle-GMM",-0.25,0.09,0.0127984374046209,500,0
500,0.9,1,"Oracle-GMM",0.25,0.634,0.0215427017804174,500,0
500,0.9,1,"Oracle-GMM",0.5,0.968,0.00787095928079926,500,0
500,0.9,0.5,"DML-IVQR",-0.5,0.106,0.0137669168661687,500,0
500,0.9,0.5,"DML-IVQR",-0.25,0.062,0.0107848041243223,500,0
500,0.9,0.5,"DML-IVQR",0.25,0.33,0.0210285520186246,500,0
