"n","tau","kappa","estimator","Delta","total_replications","successful_power_evaluations","failed_power_evaluations","power","false_acceptance","numerical_failures"
500,0.75,1,"DML-IVQR-BC",0.5,500,500,0,0.998,0.002,0
500,0.9,1,"DML-IVQR-BC",0.5,500,500,0,0.998,0.002,0
500,0.1,0.1,"Oracle-GMM",1,500,500,0,0.056,0.944,0
500,0.25,0.1,"Oracle-GMM",1,500,500,0,0.064,0.936,0
500,0.5,0.1,"Oracle-GMM",1,500,500,0,0.062,0.938,0
500,0.75,0.1,"Oracle-GMM",1,500,500,0,0.104,0.896,0
500,0.9,0.1,"Oracle-GMM",1,500,500,0,0.096,0.904,0
500,0.1,0.25,"Oracle-GMM",1,500,500,0,0.104,0.896,0
500,0.25,0.25,"Oracle-GMM",1,500,500,0,0.178,0.822,0
500,0.5,0.25,"Oracle-GMM",1,500,500,0,0.33,0.67,0
500,0.75,0.25,"Oracle-GMM",1,500,500,0,0.358,0.642,0
500,0.9,0.25,"Oracle-GMM",1,500,500,0,0.26,0.74,0
500,0.1,0.5,"Oracle-GMM",1,500,500,0,0.308,0.692,0
500,0.25,0.5,"Oracle-GMM",1,500,500,0,0.654,0.346,0
500,0.5,0.5,"Oracle-GMM",1,500,500,0,0.924,0.076,0
500,0.75,0.5,"Oracle-GMM",1,500,500,0,0.932,0.068,0
500,0.9,0.5,"Oracle-GMM",1,500,500,0,0.794,0.206,0
500,0.1,1,"Oracle-GMM",1,500,500,0,0.93,0.07,0
500,0.25,1,"Oracle-GMM",1,500,500,0,1,0,0
500,0.5,1,"Oracle-GMM",1,500,500,0,1,0,0
500,0.75,1,"Oracle-GMM",1,500,500,0,1,0,0
500,0.9,1,"Oracle-GMM",1,500,500,0,1,0,0
500,0.1,0.1,"Full-GMM",1,500,500,0,0.038,0.962,0
500,0.25,0.1,"Full-GMM",1,500,500,0,0.072,0.928,0
500,0.5,0.1,"Full-GMM",1,500,500,0,0.088,0.912,0
500,0.75,0.1,"Full-GMM",1,500,500,0,0.068,0.932,0
500,0.9,0.1,"Full-GMM",1,500,500,0,0.058,0.942,0
500,0.1,0.25,"Full-GMM",1,500,500,0,0.026,0.974,0
500,0.25,0.25,"Full-GMM",1,500,500,0,0.122,0.878,0
500,0.5,0.25,"Full-GMM",1,500,500,0,0.216,0.784,0
500,0.75,0.25,"Full-GMM",1,500,500,0,0.248,0.752,0
500,0.9,0.25,"Full-GMM",1,500,500,0,0.172,0.828,0
500,0.1,0.5,"Full-GMM",1,500,500,0,0.082,0.918,0
500,0.25,0.5,"Full-GMM",1,500,500,0,0.308,0.692,0
500,0.5,0.5,"Full-GMM",1,500,500,0,0.704,0.296,0
500,0.75,0.5,"Full-GMM",1,500,500,0,0.74,0.26,0
500,0.9,0.5,"Full-GMM",1,500,500,0,0.524,0.476,0
500,0.1,1,"Full-GMM",1,500,500,0,0.134,0.866,0
500,0.25,1,"Full-GMM",1,500,500,0,0.908,0.092,0
500,0.5,1,"Full-GMM",1,500,500,0,1,0,0
500,0.75,1,"Full-GMM",1,500,500,0,1,0,0
500,0.9,1,"Full-GMM",1,500,500,0,0.96,0.04,0
500,0.1,0.1,"DML-IVQR-BC",1,500,500,0,0.054,0.946,0
500,0.25,0.1,"DML-IVQR-BC",1,500,500,0,0.044,0.956,0
500,0.5,0.1,"DML-IVQR-BC",1,500,500,0,0.056,0.944,0
500,0.75,0.1,"DML-IVQR-BC",1,500,500,0,0.058,0.942,0
500,0.9,0.1,"DML-IVQR-BC",1,500,500,0,0.04,0.96,0
500,0.1,0.25,"DML-IVQR-BC",1,500,500,0,0.036,0.964,0
500,0.25,0.25,"DML-IVQR-BC",1,500,500,0,0.064,0.936,0
500,0.5,0.25,"DML-IVQR-BC",1,500,500,0,0.178,0.822,0
500,0.75,0.25,"DML-IVQR-BC",1,500,500,0,0.23,0.77,0
500,0.9,0.25,"DML-IVQR-BC",1,500,500,0,0.174,0.826,0
500,0.1,0.5,"DML-IVQR-BC",1,500,500,0,0.032,0.968,0
