"n","replication","tau","kappa","estimator","Delta","a_false","W_false","rejected_false","rejection","false_acceptance","power_evaluation_failed"
1000,1,0.75,0.5,"DML-IVQR-BC",0.25,1.92448975019608,16.2230737275638,TRUE,TRUE,0,FALSE
1000,1,0.75,0.5,"DML-IVQR-BC",0.5,2.17448975019608,29.1011425360483,TRUE,TRUE,0,FALSE
1000,1,0.75,0.5,"DML-IVQR-BC",1,2.67448975019608,39.8738714041723,TRUE,TRUE,0,FALSE
1000,1,0.9,0.5,"Oracle-GMM",-1,1.2815515655446,3.3543451571737,FALSE,FALSE,1,FALSE
1000,1,0.9,0.5,"Oracle-GMM",-0.5,1.7815515655446,2.23757144677371,FALSE,FALSE,1,FALSE
1000,1,0.9,0.5,"Oracle-GMM",-0.25,2.0315515655446,1.11973197279717,FALSE,FALSE,1,FALSE
1000,1,0.9,0.5,"Oracle-GMM",0.25,2.5315515655446,1.76963428985059,FALSE,FALSE,1,FALSE
1000,1,0.9,0.5,"Oracle-GMM",0.5,2.7815515655446,8.80977205392865,TRUE,TRUE,0,FALSE
1000,1,0.9,0.5,"Oracle-GMM",1,3.2815515655446,32.3522061814737,TRUE,TRUE,0,FALSE
1000,1,0.9,0.5,"Full-GMM",-1,1.2815515655446,0.428536032430341,FALSE,FALSE,1,FALSE
1000,1,0.9,0.5,"Full-GMM",-0.5,1.7815515655446,3.32110377369168,FALSE,FALSE,1,FALSE
1000,1,0.9,0.5,"Full-GMM",-0.25,2.0315515655446,1.00370809097249,FALSE,FALSE,1,FALSE
1000,1,0.9,0.5,"Full-GMM",0.25,2.5315515655446,11.7357668992139,TRUE,TRUE,0,FALSE
1000,1,0.9,0.5,"Full-GMM",0.5,2.7815515655446,12.8138839529199,TRUE,TRUE,0,FALSE
1000,1,0.9,0.5,"Full-GMM",1,3.2815515655446,19.9537485399149,TRUE,TRUE,0,FALSE
1000,1,0.9,0.5,"DML-IVQR-BC",-1,1.2815515655446,5.5664107688313,FALSE,FALSE,1,FALSE
1000,1,0.9,0.5,"DML-IVQR-BC",-0.5,1.7815515655446,0.599847732505645,FALSE,FALSE,1,FALSE
1000,1,0.9,0.5,"DML-IVQR-BC",-0.25,2.0315515655446,0.384084683836831,FALSE,FALSE,1,FALSE
1000,1,0.9,0.5,"DML-IVQR-BC",0.25,2.5315515655446,9.58613762801319,TRUE,TRUE,0,FALSE
1000,1,0.9,0.5,"DML-IVQR-BC",0.5,2.7815515655446,12.810789803718,TRUE,TRUE,0,FALSE
1000,1,0.9,0.5,"DML-IVQR-BC",1,3.2815515655446,37.0187963817433,TRUE,TRUE,0,FALSE
1000,1,0.1,0.25,"Oracle-GMM",-1,-1.2815515655446,5.53242876843925,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"Oracle-GMM",-0.5,-0.781551565544601,6.96365956487086,TRUE,TRUE,0,FALSE
1000,1,0.1,0.25,"Oracle-GMM",-0.25,-0.531551565544601,4.73733388922037,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"Oracle-GMM",0.25,-0.0315515655446008,0.74411243424807,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"Oracle-GMM",0.5,0.218448434455399,1.26247998781704,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"Oracle-GMM",1,0.718448434455399,2.1988377662417,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"Full-GMM",-1,-1.2815515655446,4.11762209022387,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"Full-GMM",-0.5,-0.781551565544601,2.57049701802165,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"Full-GMM",-0.25,-0.531551565544601,3.26564961572956,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"Full-GMM",0.25,-0.0315515655446008,0.590930124932168,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"Full-GMM",0.5,0.218448434455399,0.37473257471114,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"Full-GMM",1,0.718448434455399,0.938076981090901,FALSE,FALSE,1,FALSE
