"n","tau","kappa","estimator","total_rows","R_available","number_missing","number_non_finite","empirical_coverage","empirical_size","coverage_mcse","coverage_mc95_lower","coverage_mc95_upper","nominal_0p95_inside_mc_interval","mean_W_true","sd_W_true","min_W_true","q10_W_true","q25_W_true","median_W_true","q75_W_true","q90_W_true","q95_W_true","q99_W_true","max_W_true","empirical_rejection_rate","q95_ratio_to_chisq2_q95","mean_minus_chisq2_mean","variance_minus_chisq2_variance","max_abs_ecdf_difference_chisq2","summary_reported_coverage","summary_reported_size","summary_coverage_abs_difference","summary_size_abs_difference"
500,0.25,0.25,"DML-IVQR-BC",500,500,0,0,0.962,0.038,0.00855055553750749,0.941415227469356,0.97553988194417,TRUE,1.88476848482079,1.83627327302662,0.01165801756828,0.215308825650792,0.56944790061026,1.31412215113826,2.69889553589286,4.30234882604945,5.57593991805966,8.81457949505749,11.2059246883122,0.038,0.930647235616391,-0.115231515179211,-0.628100466768121,0.0338007840077974,0.962,0.038,0,3.46944695195361e-17
500,0.25,0.1,"Oracle-GMM",500,500,0,0,0.942,0.0580000000000001,0.0104533248299285,0.917943812143745,0.959316270888243,TRUE,2.11613475808719,2.12690421392716,0.00391536422461331,0.279115289380591,0.627676255783536,1.46538636203087,2.81603170466541,4.94208811566959,6.39216767387593,9.27788891454494,13.8439569105596,0.058,1.0668789948797,0.116134758087191,0.523721535221113,0.0480987632880433,0.942,0.058,0,4.85722573273506e-17
500,0.25,0.1,"Full-GMM",500,500,0,0,0.93,0.07,0.0114105214604767,0.904202810148083,0.949240257054982,FALSE,2.1948177982026,2.20286348576646,0.0247537674184249,0.208191739427609,0.562592837760229,1.61549316012138,2.9851759772125,5.02715569881321,6.18805936958327,10.3353448380352,14.1620340961119,0.07,1.03281248197825,0.194817798202599,0.852607536923141,0.060105837279914,0.93,0.07,0,5.55111512312578e-17
500,0.25,0.1,"DML-IVQR-BC",500,500,0,0,0.958,0.042,0.00897061870775924,0.93664841424567,0.972367689891548,TRUE,1.91037790581428,1.8322590855501,0.00387349875375666,0.170385733202916,0.486296679969456,1.29974760237172,2.81052450823518,4.52469914055388,5.38537247084228,7.74172690775786,9.43472617649664,0.042,0.898840747283023,-0.0896220941857209,-0.642826643419093,0.0485284114415772,0.958,0.042,0,3.46944695195361e-17
500,0.5,1,"Oracle-GMM",500,500,0,0,0.908,0.092,0.01292563344676,0.879461261863826,0.930317276319548,FALSE,2.37572891230427,2.29612033499314,0.007591420645811,0.261537171402644,0.658814347197556,1.7502537558474,3.24634833220844,5.50981454807426,7.36322653875874,10.0211925433323,14.2112545798833,0.092,1.22895270110759,0.375728912304269,1.27216859276903,0.0926580234951218,0.908,0.092,0,2.77555756156289e-17
500,0.5,1,"Full-GMM",500,500,0,0,0.942,0.0580000000000001,0.0104533248299285,0.917943812143745,0.959316270888243,TRUE,2.08378848600769,1.96445880827776,0.0167661044570003,0.223866094829716,0.595935403782337,1.43813330022503,3.01589311846594,5.0114110516888,6.29512303606446,7.80727494704222,13.194050366961,0.058,1.05068184691221,0.083788486007693,-0.140901590579924,0.0367975390557208,0.942,0.058,0,4.85722573273506e-17
500,0.5,1,"DML-IVQR-BC",500,500,0,0,0.922,0.078,0.0119929979571415,0.895146450126612,0.942418606523838,FALSE,2.35098931523426,2.28893331501332,0.00531255419706482,0.228685969027929,0.711995660800501,1.69803400507593,3.3000759930603,5.30892096100169,6.99239306723654,9.02001623496393,18.5915843149945,0.078,1.16705907416438,0.350989315234258,1.23921572057787,0.0779632300200178,0.922,0.078,0,4.16333634234434e-17
500,0.5,0.5,"Oracle-GMM",500,500,0,0,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE,1.99289510359579,1.97523262929163,0.00402509787269289,0.2591900159692,0.619752460448899,1.3877984542792,2.73161932934299,4.51844624586097,6.02247006502074,9.52237573921069,14.4054279404415,0.052,1.00517494807304,-0.00710489640421241,-0.0984560601816686,0.0337996328811571,0.948,0.052,0,4.85722573273506e-17
500,0.5,0.5,"Full-GMM",500,500,0,0,0.934,0.0659999999999999,0.0111035129576184,0.908760598839147,0.952621473640226,TRUE,2.10196590856239,2.03917163592624,0.00476523699823824,0.248652437108703,0.606501332200349,1.50254883665166,2.90656084021911,4.61598826736423,6.28668436872003,8.92092615816254,11.6680648348654,0.066,1.04927339873096,0.101965908562386,0.158220960766101,0.0432419381960284,0.934,0.066,0,5.55111512312578e-17
500,0.5,0.5,"DML-IVQR-BC",500,500,0,0,0.966,0.034,0.00810481338464989,0.946228634498365,0.978665480191468,TRUE,1.89024699838136,1.87702738317242,0.00453140562901999,0.215438985382374,0.544709332980526,1.41825381669516,2.67007928342432,4.1613147480711,5.36236479867214,8.06055621609468,17.3825638736895,0.034,0.895000672458372,-0.109753001618641,-0.476768202820883,0.0377226761184114,0.966,0.034,0,2.77555756156289e-17
